"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 14, 0, 14, 28
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\angular.json", "JSON", 0, 101, 0, 0, 0, 0, 0, 0, 1, 102
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\firebase.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 10, 0, 17
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\package-lock.json", "JSON", 0, 21727, 0, 0, 0, 0, 0, 0, 1, 21728
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\package.json", "JSON", 0, 42, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\about\about.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\about\about.component.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 10, 30
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\about\about.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\about\about.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\admin\admin-add-project\admin-add-project.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\admin\admin-add-project\admin-add-project.component.html", "HTML", 0, 0, 0, 0, 0, 36, 0, 0, 8, 44
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\admin\admin-add-project\admin-add-project.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\admin\admin-add-project\admin-add-project.component.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 2, 4, 46
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\app-routing.module.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 2, 3
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\app.component.spec.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\app.component.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Mbuelo\Desktop\MyVault\M B U E L O\Angular\UI's\Angularfolio\src\app\app.module.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 3, 43
